purchase_make,purchase_model,purchase_vehicle_year,purchase_price_LB,trade_in,vehicle_financing,customer_income,customer_gender,AgeBin,made_in,job_assign,Labels
KIA,SOUL,2013,20001.0,1,1,60001 - 80000,M,Twenties,SOUTH KOREA,"Communications Teachers, Postsecondary",3
TOYOTA,PRIUS,2008,15001.0,1,1,80001 - 100000,M,Thirties,JAPAN,Construction Managers,3
CHEVROLET,VOLT,2011,20001.0,1,1,80001 - 100000,M,Thirties,UNITED STATES,"Transportation, Storage, and Distribution Managers",3
VOLKSWAGEN,GOLF,2010,15001.0,1,1,180001 - 200000,M,Forties,GERMANY,Chief Executives,3
VOLKSWAGEN,GTI,2012,20001.0,1,1,80001 - 100000,M,Sixties,GERMANY,Power Plant Operators,3
TOYOTA,PRIUS,2010,20001.0,1,1,80001 - 100000,U,Fifties,JAPAN,Detectives and Criminal Investigators,3
JEEP,LIBERTY,2012,15001.0,1,1,60001 - 80000,F,Thirties,UNITED STATES,Healthcare Practitioners and Technical Occupations,3
CHEVROLET,CAPTIVA SPORT,2012,20001.0,0,1,100001 - 120000,M,Forties,UNITED STATES,"Psychologists, All Other",3
TOYOTA,PRIUS V,2013,30001.0,1,1,60001 - 80000,F,Thirties,JAPAN,"Chemistry Teachers, Postsecondary",3
CHEVROLET,CAPTIVA SPORT,2013,15001.0,1,1,60001 - 80000,F,Forties,UNITED STATES,Postmasters and Mail Superintendents,3
BMW,128,2010,25001.0,1,1,60001 - 80000,F,Thirties,GERMANY,Diagnostic Medical Sonographers,3
NISSAN,CUBE,2009,10001.0,0,1,60001 - 80000,F,Thirties,JAPAN,Loan Officers,3
CHEVROLET,VOLT,2012,30001.0,1,1,160001 - 180000,M,Thirties,UNITED STATES,Nurse Anesthetists,3
CHEVROLET,CAPTIVA SPORT,2012,20001.0,1,0,100001 - 120000,M,Forties,UNITED STATES,Top Executives,3
TOYOTA,PRIUS,2010,15001.0,1,1,60001 - 80000,F,Twenties,JAPAN,Executive Secretaries and Executive Administrative Assistants,3
TOYOTA,PRIUS,2008,10001.0,1,1,60001 - 80000,M,Thirties,JAPAN,Public Relations Specialists,3
TOYOTA,PRIUS,2012,25001.0,0,1,0 - 20000,M,Sixties,JAPAN,"Pressers, Textile, Garment, and Related Materials",3
TOYOTA,PRIUS,2010,15001.0,1,1,80001 - 100000,M,Forties,JAPAN,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",3
BMW,135,2011,25001.0,1,1,120001 - 140000,M,Forties,GERMANY,Computer and Information Research Scientists,3
MAZDA,MAZDA2,2012,10001.0,0,1,60001 - 80000,F,Thirties,JAPAN,Boilermakers,3
JEEP,LIBERTY,2010,15001.0,1,1,80001 - 100000,M,Thirties,UNITED STATES,Hydrologists,3
CHEVROLET,CAPTIVA SPORT,2012,20001.0,1,1,60001 - 80000,U,Thirties,UNITED STATES,Rail Transportation Workers,3
CHEVROLET,CAPTIVA SPORT,2012,15001.0,1,1,80001 - 100000,M,Forties,UNITED STATES,"Health Teachers, Postsecondary",3
KIA,SOUL,2012,15001.0,0,1,100001 - 120000,M,Twenties,SOUTH KOREA,Actuaries,3
INFINITI,FX35,2011,30001.0,1,1,0 - 20000,M,Sixties,JAPAN,Childcare Workers,3
SCION,XB,2012,15001.0,1,1,60001 - 80000,M,Twenties,UNITED STATES,"Compensation, Benefits, and Job Analysis Specialists",3
TOYOTA,PRIUS,2011,20001.0,1,1,80001 - 100000,M,Forties,JAPAN,"Political Science Teachers, Postsecondary",3
CHEVROLET,CAPTIVA SPORT,2013,15001.0,1,0,100001 - 120000,M,Fifties,UNITED STATES,Medical and Health Services Managers,3
INFINITI,FX35,2009,25001.0,1,1,60001 - 80000,F,Forties,JAPAN,Chemical Plant and System Operators,3
JEEP,LIBERTY,2012,20001.0,1,1,100001 - 120000,M,Fifties,UNITED STATES,"Electronics Engineers, Except Computer",3
JEEP,LIBERTY,2012,15001.0,1,1,80001 - 100000,M,Twenties,UNITED STATES,Detectives and Criminal Investigators,3
BMW,128,2009,20001.0,1,1,60001 - 80000,F,Forties,GERMANY,Conservation Scientists,3
JEEP,LIBERTY,2010,15001.0,0,1,60001 - 80000,F,Thirties,UNITED STATES,Food Scientists and Technologists,3
CHEVROLET,SPARK,2013,10001.0,1,1,60001 - 80000,U,Thirties,UNITED STATES,"Special Education Teachers, Middle School",3
CHEVROLET,CAPTIVA SPORT,2013,20001.0,0,1,60001 - 80000,F,Fifties,UNITED STATES,First-Line Supervisors of Production and Operating Workers,3
TOYOTA,PRIUS,2009,15001.0,1,1,80001 - 100000,M,Thirties,JAPAN,Social Scientists and Related Workers,3
BMW,128,2011,25001.0,1,1,60001 - 80000,M,Twenties,GERMANY,Insurance Underwriters,3
HONDA,CR-Z,2011,15001.0,1,1,140001 - 160000,M,Forties,JAPAN,Architectural and Engineering Managers,3
SUZUKI,SX4,2011,10001.0,1,1,60001 - 80000,M,Twenties,JAPAN,Executive Secretaries and Executive Administrative Assistants,3
TOYOTA,PRIUS,2010,15001.0,0,1,80001 - 100000,M,Thirties,JAPAN,Mechanical Engineers,3
INFINITI,FX35,2009,25001.0,0,0,100001 - 120000,M,Twenties,JAPAN,Medical and Health Services Managers,3
JEEP,LIBERTY,2012,15001.0,1,1,60001 - 80000,F,Fifties,UNITED STATES,"Project Management Specialists and Business Operations Specialists, All Other",3
AUDI,A7,2012,55001.0,1,0,?,F,Forties,GERMANY,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3
INFINITI,FX35,2010,30001.0,0,1,100001 - 120000,U,Thirties,JAPAN,Top Executives,3
TOYOTA,PRIUS,2010,20001.0,0,1,80001 - 100000,M,Forties,JAPAN,Atmospheric and Space Scientists,3
MAZDA,MAZDA2,2011,10001.0,0,1,140001 - 160000,M,Forties,JAPAN,Computer and Information Systems Managers,3
BMW,128,2012,30001.0,1,1,120001 - 140000,M,Fifties,GERMANY,Sales Managers,3
LEXUS,CT 200H,2012,30001.0,1,1,60001 - 80000,M,Thirties,JAPAN,Speech-Language Pathologists,3
JEEP,LIBERTY,2012,15001.0,0,1,60001 - 80000,M,Thirties,UNITED STATES,Credit Analysts,3
TOYOTA,PRIUS,2010,15001.0,1,1,80001 - 100000,M,Fifties,JAPAN,Financial Examiners,3
MINI,COOPER,2006,15001.0,1,1,180001 - 200000,M,Forties,UNITED KINGDOM,Chief Executives,3
SUBARU,OUTBACK,2011,20001.0,0,1,60001 - 80000,F,Forties,JAPAN,"Library Science Teachers, Postsecondary",3
HONDA,FIT,2009,10001.0,1,1,60001 - 80000,M,Forties,JAPAN,Executive Secretaries and Executive Administrative Assistants,3
TOYOTA,PRIUS,2013,25001.0,0,1,60001 - 80000,F,Fifties,JAPAN,"Foreign Language and Literature Teachers, Postsecondary",3
TOYOTA,PRIUS,2010,15001.0,0,1,60001 - 80000,M,Forties,JAPAN,Special Effects Artists and Animators,3
SCION,IQ,2012,10001.0,0,1,60001 - 80000,F,Forties,UNITED STATES,Buyers and Purchasing Agents,3
TOYOTA,YARIS,2012,10001.0,1,1,80001 - 100000,M,Unknown,JAPAN,Financial Examiners,3
VOLKSWAGEN,GTI,2010,20001.0,1,1,60001 - 80000,M,Fifties,GERMANY,Electrical Power-Line Installers and Repairers,3
CHEVROLET,CAPTIVA SPORT,2012,20001.0,0,1,100001 - 120000,M,Thirties,UNITED STATES,Nurse Midwives,3
HONDA,FIT,2011,15001.0,0,1,140001 - 160000,M,Fifties,JAPAN,Computer and Information Systems Managers,3
TOYOTA,PRIUS,2008,15001.0,1,1,60001 - 80000,M,Twenties,JAPAN,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3
TOYOTA,PRIUS,2010,15001.0,1,1,60001 - 80000,M,Forties,JAPAN,Market Research Analysts and Marketing Specialists,3
TOYOTA,PRIUS,2010,15001.0,1,1,100001 - 120000,M,Forties,JAPAN,Electrical and Electronics Engineers,3
DODGE,CALIBER SRT-4,2008,15001.0,0,1,60001 - 80000,M,Twenties,UNITED STATES,First-Line Supervisors of Production and Operating Workers,3
TOYOTA,PRIUS,2010,15001.0,1,1,60001 - 80000,F,Thirties,JAPAN,Insurance Underwriters,3
CHEVROLET,CAPTIVA SPORT,2013,15001.0,1,1,60001 - 80000,U,Thirties,UNITED STATES,Rail Transportation Workers,3
NISSAN,CUBE,2010,15001.0,0,1,60001 - 80000,F,Thirties,JAPAN,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",3
HONDA,FIT,2012,15001.0,1,1,60001 - 80000,M,Fifties,JAPAN,Market Research Analysts and Marketing Specialists,3
JEEP,LIBERTY,2009,15001.0,0,1,60001 - 80000,F,Twenties,UNITED STATES,Editors,3
TOYOTA,PRIUS,2012,20001.0,1,1,80001 - 100000,F,Forties,JAPAN,Database and Network Administrators and Architects,3
LEXUS,CT 200H,2011,25001.0,0,1,80001 - 100000,M,Fifties,JAPAN,"Architecture Teachers, Postsecondary",3
TOYOTA,PRIUS,2008,15001.0,1,1,80001 - 100000,F,Sixties,JAPAN,Financial Examiners,3
VOLKSWAGEN,GOLF,2012,15001.0,0,1,100001 - 120000,M,Forties,GERMANY,"Law Teachers, Postsecondary",3
JEEP,LIBERTY,2011,15001.0,1,1,60001 - 80000,M,Fifties,UNITED STATES,Social and Community Service Managers,3
VOLKSWAGEN,GTI,2012,20001.0,1,1,60001 - 80000,M,Twenties,GERMANY,Railroad Conductors and Yardmasters,3
TOYOTA,PRIUS,2010,20001.0,1,1,200001+,M,Thirties,JAPAN,General Internal Medicine Physicians,3
TOYOTA,YARIS,2012,10001.0,0,1,60001 - 80000,U,Twenties,JAPAN,Special Education Teachers,3
BMW,128,2011,20001.0,1,1,120001 - 140000,M,Twenties,GERMANY,Pharmacists,3
JEEP,LIBERTY,2012,15001.0,1,1,60001 - 80000,F,Forties,UNITED STATES,Loan Officers,3
VOLKSWAGEN,R32,2008,15001.0,0,1,60001 - 80000,M,Thirties,GERMANY,Electrical Power-Line Installers and Repairers,3
INFINITI,FX35,2005,20001.0,0,1,100001 - 120000,M,Forties,JAPAN,Nurse Midwives,3
FORD,C-MAX,2013,20001.0,1,1,80001 - 100000,F,Fifties,UNITED STATES,Healthcare Diagnosing or Treating Practitioners,3
VOLKSWAGEN,GTI,2011,20001.0,0,1,80001 - 100000,M,Twenties,GERMANY,"Engineering and Architecture Teachers, Postsecondary",3
TOYOTA,PRIUS,2010,15001.0,0,1,60001 - 80000,F,Thirties,JAPAN,"Securities, Commodities, and Financial Services Sales Agents",3
NISSAN,CUBE,2013,20001.0,0,1,60001 - 80000,F,Fifties,JAPAN,First-Line Supervisors of Non-Retail Sales Workers,3
INFINITI,FX35,2008,25001.0,1,1,80001 - 100000,M,Thirties,JAPAN,"Health Teachers, Postsecondary",3
JEEP,LIBERTY,2012,15001.0,1,1,100001 - 120000,F,Twenties,UNITED STATES,Economists,3
JEEP,LIBERTY,2012,15001.0,0,1,140001 - 160000,M,Fifties,UNITED STATES,"Dentists, General",3
TOYOTA,PRIUS,2011,20001.0,1,1,80001 - 100000,F,Thirties,JAPAN,Occupational Therapists,3
MINI,COOPER,2012,25001.0,1,1,100001 - 120000,F,Fifties,UNITED KINGDOM,"Judges, Magistrates, and Other Judicial Workers",3
TOYOTA,PRIUS,2013,20001.0,0,1,100001 - 120000,U,Forties,JAPAN,"Physical Scientists, All Other",3
TOYOTA,YARIS,2012,10001.0,0,1,60001 - 80000,F,Thirties,JAPAN,Stationary Engineers and Boiler Operators,3
MINI,COOPER,2012,25001.0,0,1,100001 - 120000,M,Thirties,UNITED KINGDOM,Nurse Practitioners,3
BMW,135,2008,25001.0,1,1,100001 - 120000,M,Thirties,GERMANY,Nurse Practitioners,3
SUBARU,OUTBACK,2013,25001.0,0,1,100001 - 120000,M,Forties,JAPAN,Sales Engineers,3
LEXUS,CT 200H,2012,25001.0,0,1,180001 - 200000,F,Fifties,JAPAN,Chief Executives,3
JEEP,LIBERTY,2012,15001.0,1,1,200001+,F,Forties,UNITED STATES,Family Medicine Physicians,3
BMW,128,2011,25001.0,0,1,80001 - 100000,F,Forties,GERMANY,Other Management Occupations,3
MINI,COOPER,2011,20001.0,0,1,140001 - 160000,U,Forties,UNITED KINGDOM,"Dentists, General",3
TOYOTA,PRIUS,2010,15001.0,1,1,100001 - 120000,M,Thirties,JAPAN,Sales Engineers,3
CHEVROLET,CAPTIVA SPORT,2012,20001.0,1,1,100001 - 120000,M,Thirties,UNITED STATES,Sales Engineers,3
TOYOTA,PRIUS,2010,20001.0,1,1,100001 - 120000,M,Forties,JAPAN,Physician Assistants,3
JEEP,LIBERTY,2008,15001.0,0,1,60001 - 80000,F,Twenties,UNITED STATES,"Compensation, Benefits, and Job Analysis Specialists",3
CHEVROLET,CAPTIVA SPORT,2013,20001.0,0,1,80001 - 100000,M,Thirties,UNITED STATES,Materials Engineers,3
MINI,COOPER,2010,20001.0,1,1,200001+,M,Forties,UNITED KINGDOM,Family Medicine Physicians,3
TOYOTA,PRIUS,2010,20001.0,0,1,100001 - 120000,M,Sixties,JAPAN,Sales Engineers,3
HONDA,CR-Z,2011,15001.0,1,1,140001 - 160000,M,Thirties,JAPAN,"Dentists, All Other Specialists",3
INFINITI,FX35,2012,35001.0,1,1,80001 - 100000,M,Fifties,JAPAN,Computer Systems Analysts,3
MINI,COOPER,2008,20001.0,1,1,60001 - 80000,F,Fifties,UNITED KINGDOM,Chemical Plant and System Operators,3
TOYOTA,PRIUS,2010,15001.0,1,1,60001 - 80000,F,Fifties,JAPAN,Fire Inspectors,3
JEEP,LIBERTY,2012,15001.0,0,1,80001 - 100000,U,Twenties,UNITED STATES,"Physical Sciences Teachers, Postsecondary",3
INFINITI,FX35,2009,25001.0,1,1,100001 - 120000,M,Twenties,JAPAN,Medical and Health Services Managers,3
VOLKSWAGEN,GOLF,2012,25001.0,1,1,120001 - 140000,M,Forties,GERMANY,Computer and Information Research Scientists,3
TOYOTA,PRIUS,2013,20001.0,1,1,60001 - 80000,U,Fifties,JAPAN,Human Resources Specialists,3
KIA,SOUL,2013,15001.0,1,1,100001 - 120000,M,Forties,SOUTH KOREA,Optometrists,3
JEEP,LIBERTY,2010,15001.0,1,1,60001 - 80000,M,Fifties,UNITED STATES,Human Resources Workers,3
TOYOTA,PRIUS,2013,25001.0,1,1,100001 - 120000,F,Fifties,JAPAN,"Physical Scientists, All Other",3
TOYOTA,PRIUS PLUG IN HYBRID,2012,20001.0,1,1,100001 - 120000,M,Forties,JAPAN,Mathematicians,3
JEEP,LIBERTY,2011,15001.0,0,1,100001 - 120000,F,Forties,UNITED STATES,Nurse Midwives,3
MINI,COOPER,2009,15001.0,0,1,100001 - 120000,M,Forties,UNITED KINGDOM,Top Executives,3
INFINITI,FX35,2006,20001.0,0,1,60001 - 80000,M,Fifties,JAPAN,Miscellaneous Postsecondary Teachers,3
HONDA,FIT,2012,15001.0,1,1,60001 - 80000,M,Twenties,JAPAN,"Special Education Teachers, Kindergarten and Elementary School",3
VOLKSWAGEN,GTI,2011,20001.0,1,1,60001 - 80000,M,Thirties,GERMANY,Compliance Officers,3
HONDA,FIT,2010,15001.0,1,1,60001 - 80000,M,Twenties,JAPAN,Human Resources Workers,3
TOYOTA,PRIUS,2010,20001.0,1,1,80001 - 100000,M,Forties,JAPAN,Electrical Engineers,3
LEXUS,CT 200H,2012,30001.0,0,0,140001 - 160000,M,Sixties,JAPAN,Architectural and Engineering Managers,3
SUZUKI,SX4,2012,10001.0,1,1,60001 - 80000,F,Forties,JAPAN,Transit and Railroad Police,3
BMW,128,2009,20001.0,1,1,100001 - 120000,F,Twenties,GERMANY,Computer Network Architects,3
NISSAN,MURANO CROSS CABRIOLET,2011,25001.0,1,1,120001 - 140000,F,Forties,JAPAN,Advertising and Promotions Managers,3
TOYOTA,MATRIX,2009,15001.0,1,1,60001 - 80000,F,Forties,JAPAN,Conservation Scientists and Foresters,3
TOYOTA,PRIUS,2010,15001.0,1,1,80001 - 100000,M,Thirties,JAPAN,"Mining and Geological Engineers, Including Mining Safety Engineers",3
CHEVROLET,CAPTIVA SPORT,2012,15001.0,1,1,80001 - 100000,F,Fifties,UNITED STATES,Financial Examiners,3
TOYOTA,PRIUS,2011,20001.0,0,1,60001 - 80000,F,Forties,JAPAN,Registered Nurses,3
JEEP,LIBERTY,2011,15001.0,0,1,200001+,M,Fifties,UNITED STATES,General Internal Medicine Physicians,3
TOYOTA,PRIUS,2010,15001.0,0,1,200001+,F,Fifties,JAPAN,"Physicians, All Other; and Ophthalmologists, Except Pediatric",3
TOYOTA,PRIUS,2008,15001.0,1,1,80001 - 100000,F,Forties,JAPAN,"Education Administrators, All Other",3
NISSAN,CUBE,2010,10001.0,1,1,140001 - 160000,M,Forties,JAPAN,Dentists,3
BMW,135,2008,20001.0,1,1,180001 - 200000,M,Thirties,GERMANY,Chief Executives,3
TOYOTA,PRIUS,2012,20001.0,0,1,60001 - 80000,M,Forties,JAPAN,Electrical and Electronics Drafters,3
VOLVO,C30,2012,20001.0,1,1,80001 - 100000,M,Thirties,SWEDEN,"Physical Sciences Teachers, Postsecondary",3
SUBARU,OUTBACK,2011,20001.0,1,1,80001 - 100000,F,Thirties,JAPAN,Elevator and Escalator Installers and Repairers,3
MAZDA,MAZDA2,2012,10001.0,1,1,60001 - 80000,M,Seventies,JAPAN,Subway and Streetcar Operators,3
FORD,C-MAX,2013,20001.0,0,1,60001 - 80000,F,Thirties,UNITED STATES,Training and Development Specialists,3
VOLKSWAGEN,GTI,2011,15001.0,1,1,140001 - 160000,M,Sixties,GERMANY,Computer and Information Systems Managers,3
JEEP,LIBERTY,2011,15001.0,1,1,60001 - 80000,F,Thirties,UNITED STATES,Chiropractors,3
BMW,128,2011,20001.0,0,1,80001 - 100000,M,Twenties,GERMANY,"Mining and Geological Engineers, Including Mining Safety Engineers",3
TOYOTA,PRIUS,2010,20001.0,1,1,80001 - 100000,U,Twenties,JAPAN,"Health Specialties Teachers, Postsecondary",3
JEEP,LIBERTY,2012,15001.0,1,1,100001 - 120000,M,Forties,UNITED STATES,"Law Teachers, Postsecondary",3
JEEP,LIBERTY,2012,15001.0,0,1,200001+,M,Forties,UNITED STATES,Family Medicine Physicians,3
TOYOTA,PRIUS,2010,15001.0,1,1,80001 - 100000,U,Twenties,JAPAN,Elevator and Escalator Installers and Repairers,3
INFINITI,FX35,2010,30001.0,1,1,60001 - 80000,F,Fifties,JAPAN,"Career/Technical Education Teachers, Middle School",3
JEEP,LIBERTY,2012,15001.0,0,1,80001 - 100000,F,Forties,UNITED STATES,Financial Examiners,3
CHEVROLET,CAPTIVA SPORT,2012,15001.0,0,1,60001 - 80000,F,Forties,UNITED STATES,Subway and Streetcar Operators,3
MITSUBISHI,ECLIPSE,2006,15001.0,1,1,100001 - 120000,M,Thirties,JAPAN,Public Relations and Fundraising Managers,3
MINI,COOPER,2012,25001.0,1,1,60001 - 80000,F,Thirties,UNITED KINGDOM,"Securities, Commodities, and Financial Services Sales Agents",3
TOYOTA,PRIUS,2010,15001.0,0,1,200001+,M,Twenties,JAPAN,Family Medicine Physicians,3
JEEP,LIBERTY,2011,20001.0,1,0,100001 - 120000,M,Thirties,UNITED STATES,Astronomers,3
JEEP,LIBERTY,2010,15001.0,1,1,80001 - 100000,M,Forties,UNITED STATES,Computer Occupations,3
TOYOTA,PRIUS,2011,20001.0,1,1,60001 - 80000,M,Twenties,JAPAN,Special Education Teachers,3
HONDA,FIT,2010,10001.0,1,1,140001 - 160000,M,Forties,JAPAN,"Dentists, General",3
TOYOTA,YARIS,2012,10001.0,1,1,60001 - 80000,M,Twenties,JAPAN,"Sales Representatives, Wholesale and Manufacturing",3
MITSUBISHI,ECLIPSE,2012,15001.0,1,1,100001 - 120000,U,Forties,JAPAN,"Software and Web Developers, Programmers, and Testers",3
TOYOTA,PRIUS,2010,20001.0,0,1,80001 - 100000,M,Thirties,JAPAN,"Administrative Law Judges, Adjudicators, and Hearing Officers",3
BMW,128,2011,20001.0,1,1,100001 - 120000,M,Sixties,GERMANY,Astronomers,3
BMW,135,2011,30001.0,1,1,60001 - 80000,M,Forties,GERMANY,"Foreign Language and Literature Teachers, Postsecondary",3
JEEP,LIBERTY,2008,15001.0,0,1,60001 - 80000,F,HundredPlus,UNITED STATES,Air Transportation Workers,3
LEXUS,CT 200H,2012,25001.0,0,0,100001 - 120000,F,Forties,JAPAN,Sales Engineers,3
VOLKSWAGEN,GOLF,2011,20001.0,0,1,100001 - 120000,F,Fifties,GERMANY,Sales Engineers,3
JEEP,LIBERTY,2011,15001.0,0,1,60001 - 80000,F,Thirties,UNITED STATES,Loan Officers,3
CHEVROLET,CAPTIVA SPORT,2013,20001.0,1,1,140001 - 160000,F,Twenties,UNITED STATES,Dentists,3
TOYOTA,PRIUS,2010,15001.0,0,1,200001+,M,Forties,JAPAN,General Internal Medicine Physicians,3
TOYOTA,PRIUS,2011,20001.0,1,1,80001 - 100000,F,Fifties,JAPAN,"Business Teachers, Postsecondary",3
MINI,COOPER,2011,20001.0,1,1,60001 - 80000,M,Thirties,UNITED KINGDOM,Anthropologists and Archeologists,3
MITSUBISHI,ECLIPSE,2012,15001.0,0,1,140001 - 160000,M,Fifties,JAPAN,Computer and Information Systems Managers,3
CHEVROLET,CAPTIVA SPORT,2013,15001.0,0,1,60001 - 80000,U,Fifties,UNITED STATES,Electrical Power-Line Installers and Repairers,3
TOYOTA,PRIUS,2010,20001.0,1,1,80001 - 100000,F,Thirties,JAPAN,"Biological Scientists, All Other",3
MINI,COOPER,2010,15001.0,1,1,100001 - 120000,M,Fifties,UNITED KINGDOM,Nurse Midwives,3
INFINITI,FX35,2009,30001.0,1,1,80001 - 100000,M,Forties,JAPAN,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",3
HONDA,FIT,2011,15001.0,1,1,140001 - 160000,F,Fifties,JAPAN,Computer and Information Systems Managers,3
MINI,COOPER,2008,15001.0,0,1,100001 - 120000,M,Thirties,UNITED KINGDOM,Astronomers,3
SATURN,AURA,2009,10001.0,0,1,100001 - 120000,M,Fifties,UNITED STATES,Nurse Midwives,3
VOLKSWAGEN,GTI,2012,20001.0,0,1,60001 - 80000,M,Twenties,GERMANY,Secondary School Teachers,3
JEEP,LIBERTY,2012,15001.0,0,1,60001 - 80000,F,Fifties,UNITED STATES,"Environmental Scientists and Specialists, Including Health",3
JEEP,LIBERTY,2012,15001.0,1,1,80001 - 100000,M,Fifties,UNITED STATES,Other Management Occupations,3
INFINITI,FX35,2008,20001.0,1,1,60001 - 80000,F,Thirties,JAPAN,Occupational Health and Safety Specialists and Technicians,3
JEEP,LIBERTY,2012,15001.0,1,1,60001 - 80000,F,Thirties,UNITED STATES,"Social Work Teachers, Postsecondary",3
SCION,XB,2013,15001.0,0,1,60001 - 80000,F,Forties,UNITED STATES,"Architects, Surveyors, and Cartographers",3
JEEP,LIBERTY,2011,15001.0,0,1,60001 - 80000,M,Forties,UNITED STATES,Aircraft Mechanics and Service Technicians,3
JEEP,LIBERTY,2012,15001.0,1,1,200001+,M,Fifties,UNITED STATES,Family Medicine Physicians,3
TOYOTA,PRIUS,2010,20001.0,1,1,80001 - 100000,M,Fifties,JAPAN,Elevator and Escalator Installers and Repairers,3
TOYOTA,PRIUS,2008,15001.0,0,1,60001 - 80000,M,Forties,JAPAN,Anthropologists and Archeologists,3
BMW,128,2011,25001.0,1,1,80001 - 100000,F,Fifties,GERMANY,Database and Network Administrators and Architects,3
TOYOTA,PRIUS,2010,15001.0,1,1,60001 - 80000,M,Thirties,JAPAN,Supervisors of Construction and Extraction Workers,3
TOYOTA,MATRIX,2011,15001.0,1,1,80001 - 100000,F,Forties,JAPAN,Computer Systems Analysts,3
JEEP,LIBERTY,2012,15001.0,0,1,100001 - 120000,M,Forties,UNITED STATES,Chemical Engineers,3
TOYOTA,PRIUS,2010,15001.0,0,1,80001 - 100000,F,Forties,JAPAN,"Social Scientists and Related Workers, All Other",3
VOLVO,V50,2009,15001.0,1,1,160001 - 180000,M,Sixties,SWEDEN,Nurse Anesthetists,3
CHEVROLET,CAPTIVA SPORT,2012,20001.0,0,1,80001 - 100000,F,Thirties,UNITED STATES,Civil Engineers,3
HONDA,FIT,2011,10001.0,0,1,60001 - 80000,F,Fifties,JAPAN,"Claims Adjusters, Examiners, and Investigators",3
MINI,COOPER,2011,25001.0,0,1,60001 - 80000,U,Thirties,UNITED KINGDOM,"Special Education Teachers, All Other",3
TOYOTA,PRIUS,2010,15001.0,1,1,60001 - 80000,F,Twenties,JAPAN,Instructional Coordinators,3
MERCEDES-BENZ,R320,2007,25001.0,1,1,180001 - 200000,M,Fifties,GERMANY,Chief Executives,3
VOLKSWAGEN,GTI,2012,20001.0,1,1,200001+,M,Fifties,GERMANY,Family Medicine Physicians,3
SUBARU,OUTBACK,2012,25001.0,1,1,60001 - 80000,F,Thirties,JAPAN,Diagnostic Medical Sonographers,3
