subsequent_purchases,purchase_model,purchase_make,purchase_vehicle_year,purchase_price_LB,purchase_price_UB,trade_in,vehicle_financing,customer_age,customer_income,customer_gender,customer_previous_purchase,customer_distance_to_dealer,post_purchase_satisfaction,vehicle_warranty_used,AgeBin,purchase_class,made_in,job_assign,purchase_price
0,EDGE,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514
0,RAM 1500,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453
0,328,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443
0,AVENGER,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414
0,C300,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376
0,CR-V,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324
0,MAXIMA,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304
0,LIBERTY,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
0,MAZDA3,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279
0,PRIUS,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081
0,TOWN AND COUNTRY,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968
0,ELANTRA,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961
0,G37,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936
0,COOPER,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914
0,WRANGLER,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816
0,CHARGER,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733
0,GRAND CARAVAN,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730
0,TACOMA,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727
0,MAZDA6,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631
0,300,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
0,TUNDRA,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585
0,MURANO,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556
0,ODYSSEY,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545
0,EQUINOX,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524
0,EXPLORER,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464
0,SORENTO,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420
0,TAHOE,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410
0,GRAND CHEROKEE,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387
0,PILOT,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372
0,JOURNEY,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369
0,HIGHLANDER,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363
0,CAMARO,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358
0,CTS,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281
0,CRUZE,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226
0,SIENNA,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217
0,E350,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208
0,AVEO,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198
0,SOUL,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157
0,SANTA FE,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091
0,OPTIMA,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068
0,RX 350,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066
0,PATRIOT,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064
0,TAURUS,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061
0,ACCENT,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051
0,PATHFINDER,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041
0,200,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013
0,4RUNNER,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
0,TRAVERSE,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
0,YARIS,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992
0,TL,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975
0,IS 250,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944
0,FRONTIER,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918
0,SRX,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
0,CALIBER,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904,904
0,PASSAT,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
0,G35,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880
0,SIERRA 1500,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873
0,ES 350,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873
0,CAPTIVA SPORT,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856
0,ACCORD CROSSTOUR,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855
0,HHR,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850
0,RANGER,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846
0,ACADIA,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828
0,CC,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817
0,CX-7,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805
0,A4,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804
0,FIESTA,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801
0,COBALT,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786
0,TSX,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784
0,MDX,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752
0,335,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726
0,FORTE,718,718,718,718,718,718,718,718,718,718,718,718,718,718,718,718,718,718
0,COMPASS,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
0,CORVETTE,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708
0,PT CRUISER,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702
0,XTERRA,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695
0,AVALON,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685
0,SUBURBAN 1500,659,659,659,659,659,659,659,659,659,659,659,659,659,659,659,659,659,659
0,INSIGHT,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645
0,LACROSSE,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644
0,FLEX,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642
0,VENZA,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622
0,GENESIS,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620
0,TC,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614
0,YUKON,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613
0,ML350,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612
0,EXPEDITION,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601
0,BEETLE,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
0,X5,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599
0,TITAN,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596
0,FIT,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591
0,CX-9,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584
0,TERRAIN,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573
0,ARMADA,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572
0,TRAILBLAZER,571,571,571,571,571,571,571,571,571,571,571,571,571,571,571,571,571,571
0,ENCLAVE,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547
0,G6,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
0,CHALLENGER,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525
0,TUCSON,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
0,DURANGO,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519
0,350Z,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519
0,IMPREZA,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
0,FORESTER,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514
0,500,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512
0,TIGUAN,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488
0,MAZDA5,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488
0,ECLIPSE,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484
0,F250,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483
0,SPORTAGE,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476
0,NITRO,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474
0,SEBRING,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466
0,FJ CRUISER,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465
0,XB,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456
0,SEQUOIA,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454
0,FX35,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443
0,ROUTAN,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442
0,GRAND MARQUIS,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
0,FORTWO,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
0,528,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431
0,VUE,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
0,AVALANCHE 1500,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428
0,GALANT,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420
0,OUTBACK,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420
0,LANCER,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
0,GLK350,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414
0,MKZ,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413
0,COLORADO,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404
0,MX-5 MIATA,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392
0,RIO,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388
0,ESCALADE,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386
0,COMMANDER,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
0,ELEMENT,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381
0,MATRIX,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381
0,325,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379
0,MKX,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372
0,H3,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
0,Z4,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364
0,YUKON XL 1500,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348
0,QUEST,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
0,CUBE,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
0,DAKOTA,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
0,GTI,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
0,HS 250H,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342
0,RX 330,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342
0,SOLARA,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325
0,535,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314
0,X3,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310
0,ION,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
0,JUKE,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305
0,370Z,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305
0,RDX,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304
0,TOWN CAR,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
0,RANGE ROVER SPORT,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
0,SEDONA,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291
0,SX4,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287
0,SONIC,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279
0,CIVIC HYBRID,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
0,OUTLANDER,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
0,RIDGELINE,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269
0,GS 350,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268
0,M35,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
0,SILVERADO 2500,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264
0,Q5,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264
0,ENVOY,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
0,CAMRY HYBRID,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
0,MILAN,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
0,QX56,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257
0,LUCERNE,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
0,GX 470,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248
0,EX35,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246
0,LEGACY,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243
0,128,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
0,MARINER,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233
0,MKS,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232
0,SPECTRA,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228
0,XF,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226
0,EOS,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226
0,AURA,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225
0,CROWN VICTORIA,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
0,EXPLORER SPORT TRAC,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
0,ES 330,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
0,XC90,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
0,750,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
0,LS 460,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
0,M3,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
0,RAM 2500,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
0,E-250,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216
0,XD,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216
0,GL450,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214
0,ENDEAVOR,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
0,C250,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211
0,SOLSTICE,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211
0,GRAND VITARA,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209
0,330,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
0,MAZDA2,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204
0,M37,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
0,F350,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
0,A5,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
0,IS 350,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
0,DTS,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
0,GOLF,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184
0,E-350,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
0,TOUAREG,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
0,STS,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
0,GS 300,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
0,CAYENNE,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173
0,LS 430,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
0,Q7,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
0,LESABRE,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
0,A3,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
0,CLK350,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167
0,S40,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
0,EXPEDITION EL,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
0,G25,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
0,MKT,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
0,KIZASHI,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
0,A6,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
0,C350,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
0,CR-Z,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
0,S60,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
0,CT 200H,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
0,TRIBUTE,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
0,SKY,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
0,CAYMAN,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
0,VELOSTER,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
0,550,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
0,FUSION HYBRID,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
0,LR2,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
0,CANYON,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
0,S550,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
0,C230,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
0,REGAL,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
0,RX-8,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
0,NAVIGATOR,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
0,VIBE,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
0,911,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
0,VERACRUZ,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
0,XC60,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
0,OPTIMA HYBRID,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
0,SONATA HYBRID,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
0,RABBIT,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
0,BOXSTER,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
0,SC 430,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
0,E550,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
0,CHALLENGER SRT-8,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
0,RANGE ROVER,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
0,HIGHLANDER HYBRID,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
0,ESCAPE HYBRID,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
0,OUTLANDER SPORT,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
0,H2,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
0,PACIFICA,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
0,650,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
0,RONDO,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
0,ASPEN,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
0,RX 400H,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
0,AZERA,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
0,RL,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
0,OUTLOOK,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
0,TIBURON,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
0,CROSSFIRE,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
0,GRAND PRIX,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
0,RX 450H,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
0,135,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
0,DART,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
0,MAGNUM,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
